profil_num;titre_profil;competences;ville;etablissement
Profil n°04288901;INGÉNIEUR INFORMATIQUE DÉVELOPPEMENT CONFIRME;SAP Business One , GPS,ERP,Networking;Casablanca;EMSI		
Profil n°04285858;Développeur informatique;Technologies : JEE, ASP.NET; Casablanca;ENSA		
Profil n°04275449;Architecte JAVA/JEE;Java EE,Java;RABAT;EMSI
Profil n°04282556;Consultant BI;BI,Python;Casablanca;ENSET		
Profil n°04257960;Support Informatique;maintenance,traitement des incidents;RABAT;ENA	
Profil n°04272723;Technicien reseaux informatiques;Installation et configuration linux windows;Casablanca;ISTA		
Profil n°04249464;INFORMATICIEN	Programmation web;Asp.net;RABAT;ISTA	
Profil n°04276315;Commercial Senior;Marketing;Casablanca;ENCG		
Profil n°04276590;Ingénieur Informatique Java / Angular	développement web gestion base;Angular,Java;Rabat;INPT		
Profil n°04279076;Team leader Mobile iOS/Android;ios/Andeoid programmation;Casablanca;EMI	
Profil n°04039217;Consultant BIG Data;Data wearhouse,ETL,Reporting;Casablanca;ENSAM	
Profil n°04260832;Consultant en informatique;Développement des solutions informatiques;Casablanca;ENSAM 
Profil n°04276832;DÉVELOPPEUR INFORMATIQUE ANGULAR / JAVA CONFIRMÉ;Développeur Full Stack,Travail en mode Agile,Java/JEE;Casablanca;ENSAM
Profil n°04282992;Développeur Informatique Confirmé C#;C#,Vb;Casablanca;ENSET		
Profil n°04279067;stage au sein d’établissement MOUFID	"Travailler en équipe ; Sens de la responsabilité "		
Profil n°03924627;Consultant BI;BI,ETL,Big Data;Rabat;ENSIAS		
Profil n°04277731;INGÉNIEUR TEST ET VALIDATION;Certifications SFTL et ISTQB;Casablanca;EMSI	
Profil n°03867273;INGÉNIEUR INFORMATIQUE DÉVELOPPEMENT CONFIRME ;Programmation Web: Python, PHP;RABAT;ENSA		
Profil n°04256795;Technicien Réseaux Télécoms;Support technique, configuration réseaux;Casablanca;ISTA		
Profil n°04252909;Architecte JAVA/JEE;Java EE,Java;Casablanca;INPT
Profil n°04132909;Chef de projet développement;Gestion d'équipe;Casablanca;ENSA		
Profil n°04263460;Développeur Informatique Angular / Java confirmé;éveloppeur Full Stack;Casablanca;INPT	
Profil n°04273714;Ingénieur Informatique Confirmé C# .NET;C#,.Net;Casablanca;ENSA
Profil n°04288821;INGÉNIEUR DÉVELOPPEMENT HUDSON,MAVEN,C,PLSQL,FLEX,JAVA,SHELL;C, PLSQL, Flex, Java, Shell, Oracle forms et Oracle reports;Casablanca;INPT
Profil n°04286379;Ingénieur de Développement;SYMFONY,HTML,CSS,PHP;Casablanca;ENSAM	
Profil n°04288010;Développeur Informatique Confirmé C#;.NET	.Net ASP.Net;Casablanca;ENSA	
Profil n°04288139;Team Leader JAVA/JEE;Java EE,Gestion de projet;Casablanca,ENSAF
