offre;date;company;description;ville;competences_souhaites
Ingénieur-de Développement;12.03.2019;HPS;Nous recrutons un Ingénieur-de DéveloppementMi;Casablanca;JAVA/JEE
Développeur Informatique Angular / Java confirmé;12.03.2019;BEREXIA;BEREXIA Conseil société d'ingénierie informatique;Casablanca;Angular React  Web
DÉVELOPPEUR INFORMATIQUE JAVA JEE / ANGULAR;12.03.2019;NEXTON CONSULTING;Nous recherchons un Développeur Informatique;Rabat;Java JEE 
INGÉNIEUR-INFORMATIQUE DÉVELOPPEMENT ;12.03.2019;KROSSONE;Pour le compte d'une SII sur Casablanca nous recherchons développeur informatique;Casablanca;GestionDeProjet Java
Graphiste  (H/F);12.03.2019;FINAPPS;Pour le compte d'une SII sur Casablanca nous recrutons un  graphiste;Rabat;infographie3D
TL Mobile(iOS/Android);12.03.2019;ADRIA BUSINNES & TECHNOLOGY;Adria Business & Technology est une société d’informatique;Casablanca; Android IOS
Ingénieur-Mobile iOS/Android;12.03.2019;ADRIA BUSINNES & TECHNOLOGY;Adria Business & Technology est une société d’informatique;Casablanca;Android IOS
Team leader Mobile iOS/Android;12.03.2019;ADRIA BUSINNES & TECHNOLOGY;Nous recrutons un Team leader Mobile iOS/Android;Casablanca;GestionDeProjet Mobile
Team Leader JAVA/JEE;12.03.2019;ADRIA BUSINNES & TECHNOLOGY;Nous recrutons un Team Leader JAVA/JEE;Casablanca;Java JEE
Architecte JAVA/JEE;12.03.2019;ADRIA BUSINNES & TECHNOLOGY;Nous recrutons un Architecte JAVA/JEE;Casablanca;Java JEE Java
Consultant BI;12.03.2019;Umanis;Pour l'un de nos clients nour recherchons un consultant BI;Casablanca;BI Python
Consultant BIG Data;12.03.2019;VISION BUSINESS CONSULTING;Au sein de la DSI de l’un de nos clients nous aurons besoin d'un consultant BIG DATA;Casablanca;BIGDATA Hbase
Commercial Senior;12.03.2019;ADRIA BUSINNES & TECHNOLOGY;Nous recrutons un Commercial Senior;Casablanca;commerceInternationale Marketing
Ingénieur-Informatique Java / Angular;12.03.2019;BEREXIA;BEREXIA Conseil société d'ingénierie informatique;Casablanca;Angular Java 
Chef de Projet PMO / IT;11.03.2019;VISION BUSINESS CONSULTING;Au sein de la DSI de l’un de nos clients;Rabat;CP
Développeur Informatique Confirmé C# .NET;11.03.2019;ONE TECHNOLOGIE;One Technologie société spécialisée dans les applications informatique;Rabat;C# .Net
Ingénieur-Informatique Confirmé C# .NET;11.03.2019;ONE TECHNOLOGIE;One Technologie société spécialisée dans l’informatique;Rabat;C# .Net
Responsable Informatique (H/F);11.03.2019;DEKRA SERVICES;Notre client une multinationale spécialisée dans l'informatique;Bouskoura;Java WEB
chef de projet Cloud et virtualisation;11.03.2019;Capgemini;une société multinationale spécialisée en informatique;Casablanca;cloud  virtualisation
Développeur Java;11.03.2019;DXC;DXC Technology is the world's leading independent end-to-end IT services and solutions company;Rabat;Java
Senior BI;11.03.2019;DXC;DXC Technology is the world's leading independent end-to-end IT services and solutions company;Rabat;BI Maching Learning
DÉVELOPPEUR INFORMATIQUE ANGULAR / JAVA CONFIRMÉ;20.03.2019;BEREXIA;BEREXIA Conseil société d'ingénierie informatique;Casablanca;Développeur Full Stack TravailEnModeAgile Java/JEE Angular2/4 Oracle PostgreSQL WebServicesRest/Soap
INGÉNIEUR DÉVELOPPEMENT HUDSON MAVEN C PLSQL FLEX JAVA SHELL;19.03.2019;HPS;HPS est un leader mondialement reconnu dans l’édition des solutions de paiement électronique dédiées aux institutions financières;Casablanca;C  PLSQL  Flex  Java  Shell  OracleForms  OracleReports
Technicien Réseaux Télécoms;25.03.2019;ALTRAN;Altran est une societe en croissance continu a besoin de technicien en réseau et télecoms;Casablanca;Support technique configuration réseaux
CONCEPTEUR/DÉVELOPPEUR CONFIRMÉ PHP;25.03.2019;DXC;DXC Technology is the world's leading independent end-to-end IT services and solutions company;Casablanca;JQuery Bootstrap
DATA MANAGER;25.03.2019;ATOS;Atos est un leader international de la transformation digitale ;Casablanca;DataMart ETL Talend
CHARGÉ De PAIE;25.03.2019;INTELCIA;Nous sommes un acteur majeur de l'externalisation des métiers de la relation client;Casablanca;Commercial vente Gestion comptabilité finance
COACH AGILE SENIOR;27.03.2019;Umanis;Umanis est le leader français en Data Digital Business Solutions;Casablanca;Méthode Scrum Kanban Extreme Programming Design Thinking Lean Startup organisation de Dojo
ASSISTANTS COMPTABLES (H/F);27.03.2019;HPS;HPS est un leader mondialement reconnu dans l’édition des solutions de paiement électronique dédiées aux institutions financières;Casablanca;Conseil audit comptabilité
RECRUTEMENT ANGLOPHONE (H/F);27.03.2019;DXC;HPS est un leader mondialement reconnu dans l’édition des solutions de paiement électronique dédiées aux institutions financières;Rabat;Rédiger et diffuser les annonces de recrutement
Team Leader JAVA/JEE;27.03.2019;ATOS;Atos est un leader international de la transformation digitale ;Casablanca;Java JEE Gestion de projet
INGÉNIEUR DÉVELOPPEMENT HUDSON MAVEN C PLSQL FLEX JAVA SHELL;25.03.2019;ATOS;Atos est un leader international de la transformation digitale ;Casablanca;C PLSQL Flex Java Shell Oracle forms et Oracle reports
Développeur Informatique Angular / Java confirmé;25.03.2019;Umanis;Umanis est le leader français en Data Digital Business Solutions;Casablanca;Développeur Full Stack
Chef de projet développement;11.03.2019;Umanis;Umanis est le leader français en Data Digital Business Solutions;Casablanca;Gestion d'équipe
Architecte JAVA/JEE;11.03.2019;BEREXIA;BEREXIA Conseil société d'ingénierie informatique;Casablanca;JEE Java
Architecte JAVA/JEE;27.03.2019;HPS;HPS est un leader mondialement reconnu dans l’édition des solutions de paiement électronique dédiées aux institutions financières;Casablanca;JEE Java
Technicien Réseaux Télécoms;27.03.2019;ALTRAN;Altran est une societe en croissance continu a besoin de technicien en réseau et télecoms;Casablanca;Support technique configuration réseaux
Technicien Réseaux Télécoms;25.03.2019;IBM;IBM-Cloud exploitez davantage vos données & accélerez votre transition vers l'IA;Casablanca;Support technique configuration réseaux
Consultant BI;25.03.2019;Umanis;Umanis est le leader français en Data Digital Business Solutions;Casablanca;BI ETL Big Data
INGÉNIEUR DEVOPS;11.03.2019;BEREXIA;BEREXIA Conseil société d'ingénierie informatique;Casablanca;CI/CD Continuous Operation Time2fix
TL MOBILE (IOS/ANDROID);11.03.2019;ADRIA BUSINNES & TECHNOLOGY;Nous recrutons un Commercial Senior;Casablanca;développements Mobile Android / iOS
COACH AGILE SENIOR;16.03.2019;ATOS;Atos est un leader international de la transformation digitale ;Casablanca;Méthode Scrum Kanban Extreme Programming Design Thinking Lean Startup organisation de Dojo
Consultant BIG Data;11.03.2019;Umanis;Umanis est le leader français en Data Digital Business Solutions;Casablanca;Data wearhouse ETL Reporting
Team leader Mobile iOS/Android;16.03.2019;DXC;DXC Technology is the world's leading independent end-to-end IT services and solutions company;Casablanca;ios/Andeoid programmation
INFORMATICIEN Programmation web;16.03.2019;HPS;HPS est un leader mondialement reconnu dans l’édition des solutions de paiement électronique dédiées aux institutions financières;Rabat;Asp.net
Support Informatique;12.02.2019;KROSSONE;Pour le compte d'une SII sur Casablanca nous recherchons développeur informatique;Casablanca;maintenance traitement des incidents
AGENT HELP DESK;12.02.2019;DXC;DXC Technology is the world's leading independent end-to-end IT services and solutions company;Casablanca;SQL PHP Java Red Hat JBoss
Chargée-de recrutement;25.03.2019;IBM;IBM-Cloud exploitez davantage vos données & accélerez votre transition vers l'IA;Casablanca;RH formation
ASSISTANTS COMPTABLES (H/F);11.03.2019;ADRIA BUSINNES & TECHNOLOGY;Nous recrutons un Commercial Senior;Casablanca;Conseil audit comptabilité
